date,V1,V2,V3,V4,V5
2016-02-01,0.8750856642780248,0.6563142482085186,0.0,0.0,0.2565235469497653
2016-03-01,0.8827083844539623,0.6620312883404716,0.0,0.0,0.1993250313335657
2016-04-01,0.9493269332418606,0.7119951999313954,1.0,0.9493269332418606,1.0
2016-05-02,0.9803362394982527,0.7352521796236894,1.0,0.9803362394982527,1.0
2016-06-01,0.9926543244690876,0.7444907433518156,1.0,0.9926543244690876,1.0
2016-07-01,1.0,0.7791274008691867,1.0,1.0,1.0
2016-08-01,1.0,0.9335717051026898,1.0,1.0,1.0
2016-09-01,1.0,1.0,1.0,1.0,1.0
2016-10-03,1.0,1.0,1.0,1.0,0.5038546240449142
2016-11-01,1.0,1.0,1.0,1.0,0.9644723365405369
2016-12-01,1.0,1.0,1.0,1.0,0.8819976466168101
2017-01-03,1.0,1.0,1.0,1.0,1.0
2017-02-01,1.0,1.0,1.0,1.0,1.0
2017-03-01,1.0,1.0,1.0,1.0,1.0
2017-04-03,1.0,1.0,1.0,1.0,0.8203866197663908
2017-05-01,1.0,1.0,1.0,1.0,1.0
2017-06-01,1.0,1.0,1.0,1.0,0.436132381053747
2017-07-03,1.0,0.9743706747876375,1.0,1.0,0.5085963375007853
2017-08-01,1.0,0.9537901321734181,1.0,1.0,0.8292663628883657
2017-09-01,1.0,0.917350076390405,1.0,1.0,0.5527221114839271
2017-10-02,1.0,0.9296309516098092,1.0,1.0,1.0
2017-11-01,1.0,0.9372542631091553,1.0,1.0,1.0
2017-12-01,1.0,0.9991030006590138,1.0,1.0,0.8442753584561109
2018-01-02,1.0,1.0,1.0,1.0,0.7404550695178177
2018-02-01,1.0,0.9988326413271114,1.0,1.0,0.5842936408106535
2018-03-01,1.0,0.838833623774709,1.0,1.0,0.19261902080057897
2018-04-02,0.9625771282325944,0.7219328461744458,1.0,0.9625771282325944,0.21124950926555322
2018-05-01,0.8642719997854358,0.6482039998390768,1.0,0.8642719997854358,0.25183499549035293
2018-06-01,0.8581421244811065,0.6436065933608298,1.0,0.8581421244811065,1.0
2018-07-02,0.8697321743581423,0.6522991307686067,1.0,0.8697321743581423,0.8200658108773611
2018-08-01,0.881089311505848,0.6608169836293859,1.0,0.881089311505848,0.6937800058417437
2018-09-04,1.0,0.7619220259535087,1.0,1.0,1.0
2018-10-01,1.0,0.9198331721836461,1.0,1.0,1.0
2018-11-01,1.0,0.7592179772154309,0.0,0.0,0.14814418328999837
2018-12-03,0.8972587475146284,0.6729440606359712,1.0,0.8972587475146284,0.20561000669797316
2019-01-02,0.7562783843043999,0.5672087882282998,0.0,0.0,0.1306101577216369
2019-02-01,0.716257731321417,0.5371932984910627,0.0,0.0,0.27987107104135894
2019-03-01,0.7254745653720892,0.5441059240290668,1.0,0.7254745653720892,1.0
2019-04-01,0.7232883831386651,0.5424662873539987,1.0,0.7232883831386651,0.9469836431310404
2019-05-01,0.81779859010372,0.6133489425777899,1.0,0.81779859010372,1.0
2019-06-03,0.892624908630851,0.6694686814731382,0.0,0.0,0.7572928577387853
2019-07-01,1.0,0.9508693652332414,1.0,1.0,1.0
2019-08-01,1.0,1.0,1.0,1.0,1.0
2019-09-03,1.0,0.969002630275477,1.0,1.0,0.29220630506975703
2019-10-01,1.0,0.9705076880157895,1.0,1.0,0.9333343172874946
2019-11-01,1.0,0.972836407163493,1.0,1.0,1.0
2019-12-02,1.0,1.0,1.0,1.0,1.0
2020-01-02,1.0,1.0,1.0,1.0,1.0
2020-02-03,1.0,0.9802976050506063,1.0,1.0,0.7201728472468465
2020-03-02,1.0,0.8791063902106409,0.0,0.0,0.1872292679436873
2020-04-01,0.4296744433462494,0.32225583250968703,0.0,0.0,0.016112942842422817
2020-05-01,0.3973012811730619,0.2979759608797964,0.0,0.0,0.07992621585377997
2020-06-01,0.3939707907872561,0.29547809309044204,1.0,0.3939707907872561,0.450877967722881
2020-07-01,0.3884032328647016,0.2913024246485261,1.0,0.3884032328647016,0.3420308557365283
2020-08-03,0.3864678329989297,0.28985087474919724,1.0,0.3864678329989297,0.4734131145281184
2020-09-01,0.39756642905677103,0.29817482179257826,1.0,0.39756642905677103,0.5649072646121135
2020-10-01,0.7068929045049933,0.530169678378745,1.0,0.7068929045049933,0.1509470444147765
2020-11-02,0.8140638301502652,0.6105478726126988,1.0,0.8140638301502652,0.24950445373700686
2020-12-01,0.7740138580970688,0.5805103935728015,1.0,0.7740138580970688,0.23785034312527822
2021-01-04,0.8143375781811685,0.6107531836358764,1.0,0.8143375781811685,1.0
2021-02-01,0.7992291604613839,0.5994218703460379,1.0,0.7992291604613839,0.34767619461763927
2021-03-01,0.771157492371777,0.5783681192788327,1.0,0.771157492371777,0.2803814270595841
2021-04-01,0.764942651989831,0.5737069889923733,1.0,0.764942651989831,0.1624896053234554
2021-05-03,0.7828612361636224,0.5871459271227167,1.0,0.7828612361636224,0.3971252971625076
2021-06-01,0.7967394541958039,0.5975545906468529,1.0,0.7967394541958039,0.283716790435811
2021-07-01,0.7865009860624871,0.5898757395468652,1.0,0.7865009860624871,0.7724194740670325
2021-08-02,0.7719460434074543,0.5789595325555906,1.0,0.7719460434074543,0.28028993157791127
2021-09-01,0.7937480373600064,0.5953110280200048,1.0,0.7937480373600064,0.2995644245274576
2021-10-01,0.8547898875851069,0.6410924156888301,1.0,0.8547898875851069,0.34306951097533533
2021-11-01,0.8772186169100663,0.6579139626825496,1.0,0.8772186169100663,0.7689212499130755
2021-12-01,0.8985196611012711,0.6738897458259533,1.0,0.8985196611012711,0.3778983349897479
2022-01-03,0.816232746749963,0.6121745600624723,1.0,0.816232746749963,0.23989035412517307
2022-02-01,0.8055412346430593,0.6041559259822944,1.0,0.8055412346430593,0.2508250143285543
2022-03-01,0.792148662241257,0.5941114966809428,0.0,0.0,0.23990466310534603
2022-04-01,0.8042488174317683,0.6031866130738263,1.0,0.8042488174317683,0.5618410575728059
2022-05-02,0.7497650260631938,0.5623237695473953,0.0,0.0,0.24100719339552074
2022-06-01,0.6487512120086579,0.4865634090064934,0.0,0.0,0.11109973654292267
2022-07-01,0.6158629283325674,0.4618971962494255,0.0,0.0,0.13838460375432216
2022-08-01,0.5983809567048484,0.4487857175286362,0.0,0.0,0.18821129821018454
2022-09-01,0.6105169393851835,0.45788770453888755,0.0,0.0,0.30835673680140824
2022-10-03,0.5839400137322189,0.43795501029916417,0.0,0.0,0.2187146012790906
2022-11-01,0.5759044605279466,0.43192834539596,0.0,0.0,0.23053366854039023
2022-12-01,0.6375487166558089,0.47816153749185664,1.0,0.6375487166558089,0.4056219070484071
2023-01-03,0.701858968615207,0.5263942264614052,0.0,0.0,0.35327572270206803
2023-02-01,0.7476177183559358,0.5607132887669518,1.0,0.7476177183559358,0.41208294104140014
2023-03-01,0.7589342221828423,0.5692006666371316,1.0,0.7589342221828423,0.5106728501595059
2023-04-03,0.8102772612929239,0.6077079459696929,1.0,0.8102772612929239,0.3966939375745851
2023-05-01,0.9207030367686624,0.6905272775764968,1.0,0.9207030367686624,0.9403826029815099
2023-06-01,0.9505306054185351,0.7128979540639012,1.0,0.9505306054185351,0.6257914927335316
2023-07-03,1.0,0.7832713063148672,1.0,1.0,1.0
2023-08-01,1.0,0.8209584743976138,1.0,1.0,0.7563804671785431
2023-09-01,1.0,0.8494878882710674,1.0,1.0,0.6032341381010441
2023-10-02,1.0,0.9073923439706627,1.0,1.0,0.8739263099852871
2023-11-01,1.0,0.8588465672153986,0.0,0.0,0.48013048077348003
2023-12-01,1.0,0.8422598268311371,1.0,1.0,0.7229706566432316
2024-01-02,1.0,0.8116183740025433,1.0,1.0,0.8191899163100304
2024-02-01,1.0,0.7783607672718829,1.0,1.0,0.4888760387061075
2024-03-01,0.9954872227109227,0.746615417033192,1.0,0.9954872227109227,0.35094406317845145
2024-04-01,0.9697080245384224,0.7272810184038168,1.0,0.9697080245384224,0.47384043901465484
2024-05-01,0.8991363759746288,0.6743522819809715,1.0,0.8991363759746288,0.2438380902248773
2024-06-03,0.869946373034894,0.6524597797761704,1.0,0.869946373034894,0.4658598310569253
2024-07-01,0.8676652413837218,0.6507489310377913,1.0,0.8676652413837218,0.7605030725502689
2024-08-01,0.7456246176172613,0.5592184632129459,1.0,0.7456246176172613,0.14370471380890087
2024-09-03,0.7070861687659741,0.5303146265744805,1.0,0.7070861687659741,0.21172696270188726
2024-10-01,0.676449521964069,0.5073371414730518,1.0,0.676449521964069,0.2670684234719923
2024-11-01,0.7228681461408131,0.5421511096056097,1.0,0.7228681461408131,0.6926335101835062
2024-12-02,0.7277442568036159,0.5458081926027119,1.0,0.7277442568036159,0.4324793257276776
2025-01-02,0.7028996039183947,0.527174702938796,1.0,0.7028996039183947,0.3674501478752689
2025-02-03,0.7313710825205205,0.5485283118903904,1.0,0.7313710825205205,0.1906976268041769
2025-03-03,0.7527440074752593,0.5645580056064444,1.0,0.7527440074752593,0.2366873239037949
2025-04-01,0.686696109965526,0.5150220824741445,0.0,0.0,0.13470654042622496
2025-05-01,0.5554433803911346,0.41658253529335093,0.0,0.0,0.07728589925059157
2025-06-02,0.5629677864380918,0.42222583982856876,1.0,0.5629677864380918,0.9482037685020517
2025-07-01,0.5801858679283047,0.43513940094622855,1.0,0.5801858679283047,1.0
2025-08-01,0.6152539979802618,0.46144049848519636,1.0,0.6152539979802618,0.976506487810616
2025-09-02,0.6491897511651384,0.4868923133738538,1.0,0.6491897511651384,0.6859156800670864
2025-10-01,0.7478719046754222,0.5609039285065666,1.0,0.7478719046754222,0.6244422099267258
2025-11-03,1.0,0.8286783311941995,1.0,1.0,0.3686034665041892
2025-12-01,0.8263576381011359,0.6197682285758519,1.0,0.8263576381011359,0.1277883505501979
2026-01-02,0.7665117870522761,0.574883840289207,1.0,0.7665117870522761,0.2935811155681234
2026-02-02,0.7071609095434996,0.5303706821576246,1.0,0.7071609095434996,0.2394240972149552
2026-03-02,0.6355078033546722,0.47663085251600407,1.0,0.6355078033546722,0.13576122975577537
2026-04-01,0.5419881932856492,0.40649114496423683,0.0,0.0,0.08655237613911465
2026-05-01,0.5152907873154774,0.386468090486608,1.0,0.5152907873154774,0.20013427171155024
2026-06-01,0.5110374070053635,0.3832780552540226,1.0,0.5110374070053635,0.10974168457971571
2026-07-01,0.4155742673235411,0.3116807004926558,1.0,0.4155742673235411,0.04191604341571654
2026-08-03,0.34397354819341636,0.2579801611450622,1.0,0.34397354819341636,0.03899568188878329
2026-09-01,0.3362493140812903,0.2521869855609677,1.0,0.3362493140812903,0.08868360571189851
