,PEAD,B1_beta_hedged,B2_vol_managed,B3_pead_tsmom,B4_pead_3sleeves,B5_hedged_3sleeves
2023-10-24,0.004780297413547796,0.002115130161930334,0.008348069165638669,0.005425677380301825,0.0021551549210309592,0.0006960358472287906
2023-10-25,-0.010376414358366559,-0.0050860094164069695,-0.018182055156296242,-0.014456493753940293,-0.007196003453363043,-0.0035258521558609707
2023-10-26,-0.0015642823638425396,0.0027977586278134653,-0.0027890435193994,-0.004972340817934797,-0.0008836470966607076,0.001437981207664388
2023-10-27,-0.016049570802645907,-0.014162014694336398,-0.02836113052546628,-0.015749022380565466,-0.013591024398514862,-0.010423392255332559
2023-10-30,0.01651745526614934,0.012082463927870938,0.029478090474589495,0.017996627512987053,0.010464666861306345,0.006976002189692687
2023-10-31,0.008737366544417036,0.006478789395957892,0.015377923602637239,0.00845644078462138,0.005576096357136821,0.0037608414350728185
2023-11-01,-0.0004536701291728562,-0.004162692971889612,-0.0008367403720586807,0.0017542956198930155,0.0009302598048173492,-0.0013158461398143826
2023-11-02,0.02045455453967504,0.012576954509110425,0.0135836774775726,0.014337430501430581,0.00806826174993735,0.0038838933780964945
2023-11-03,0.016830254588418914,0.013234961710415756,0.011678910510185058,0.012020077526507453,0.00869377278465795,0.0060521451913190015
2023-11-06,-0.0035048040565062166,-0.004417968456452524,-0.002444449957446467,-0.003330528117570849,-0.0019839458392407363,-0.002196652690877597
2023-11-07,-0.002499406458935982,-0.0036375121926858593,-0.0017413754438000842,-3.676353670064355e-05,0.0017165968360454028,0.0006259913429387241
2023-11-08,-0.00018773878487388096,-0.0004145265864034768,-0.00013070121430276035,-0.0020084808668338213,-0.004546021593646648,-0.0036461313343833903
2023-11-09,-0.008454299689053535,-0.00519792745203242,-0.005885433860429885,-0.007596667265825517,-0.004410433593795431,-0.002362130307567308
2023-11-10,0.00834140817891238,0.0019520573703512107,0.005791839476447906,0.00782003990260691,0.007116726237877485,0.002947973764424955
2023-11-13,-0.003439677646154271,-0.0030062022996894355,-0.002394387197294823,-0.0008729121480670946,-0.0003473417908554661,-0.0002660139670867803
2023-11-14,0.025260650275504393,0.017478692761451267,0.017565716608229177,0.022907645603524776,0.013642464427411228,0.008365366239326433
2023-11-15,0.007701448532796418,0.007067650718256389,0.005395921041425651,0.0044058541615609615,-0.0021680195793514095,-0.001561012033526418
2023-11-16,-0.0034137577439569133,-0.003933487998271439,-0.0023972903146371126,-0.002757104361830837,0.0026221489317477804,0.0015969732459864788
2023-11-17,7.082807370228927e-05,-0.0003735713215224366,4.968789864925406e-05,-0.0015789897513175477,-0.00394526746629089,-0.003292011979062871
2023-11-20,0.001244931658385795,-0.0019324626314665351,0.0008733732608896549,-0.0007754889037256579,-0.0012482887164739582,-0.0024497475302396976
2023-11-21,-0.002573599743593502,-0.0016201344629039039,-0.0018061614973710475,-0.0020532050803022104,0.0011181593383017352,0.0011958016390894893
2023-11-22,0.0008179111178272525,-0.0007398768919237986,0.0005735716288968299,-0.001134710938524313,-0.00030380513370837714,-0.0009482579380925301
2023-11-24,0.001071871194693319,0.0009235569842957372,0.0007518482464244238,0.005338824048848741,0.005608972406159724,0.004370945748141553
2023-11-27,-0.00019459769699126106,0.0006669622627943953,-0.0001365413350844852,0.0008417001156056125,9.249746419647323e-05,0.0004786932711339277
2023-11-28,0.0003620442177643124,3.088678854555805e-05,0.00025401703754598736,-0.002424530027398468,-0.005559321357881968,-0.004489576177068692
2023-11-29,0.0008238030642127026,0.0012388533928400828,0.0005780581587890451,-0.0027428603083022697,-0.0028701821032994803,-0.001995912341737876
2023-11-30,0.00037204074781871377,-0.0012308274415526923,0.0002611230992968566,-0.0021357130650977983,-0.0002149718821966584,-0.0009290801709089418
2023-12-01,0.001696756207449912,-0.0007313737110609022,0.0011910291354673213,0.00035920857366318246,0.0026713480956890414,0.00099594319689047
2023-12-04,-1.4176751393479847e-05,0.002428790377582826,-1.5204932431182625e-05,-0.004222448072729665,-0.008437780891602182,-0.006365813793657699
2023-12-05,-0.00050001464936833,-0.0003219168764824429,-0.00030979024311209193,-0.0011829140467178856,-0.0002381041868928236,-0.00014056540872709865
2023-12-06,0.000510944656703316,0.0023937215991395237,0.0003165018274740022,-0.002348915487123593,-0.004819148880868745,-0.0033749277802076877
2023-12-07,0.0013740855907227179,-0.0019200147923046692,0.000851335132699603,-0.0011800556242013934,-0.0009863956894669156,-0.002328689368537408
2023-12-08,-0.00024789832150895474,-0.002078476205710283,-0.00015366930681493034,1.7230892371827443e-06,-0.00553674765745634,-0.00570484072725259
2023-12-11,0.0026052132179570364,0.0008588644502885446,0.0016147893915009757,0.005325545096697235,0.0064745214979842645,0.00495421288544466
2023-12-12,0.0012366013347338,-0.0007286461576059848,0.000767240563316743,0.0028705224939454123,0.0035052635095986205,0.0022205608433244857
2023-12-13,0.0004750372806279213,-0.005678793333904404,0.00029487175560589647,-0.002503274672088558,-0.0027018961017976385,-0.005159182922705233
2023-12-14,0.0010784868631810163,-0.000299780768597979,0.0006695739602373418,-0.004635319525311823,-0.006972873686423875,-0.006767982075271347
2023-12-15,-0.0008526639087512722,-7.397132455535822e-06,-0.0005295890665052416,-0.006574516756660768,-0.004268647268145791,-0.0034019388467573606
2023-12-18,-0.0005559663964869177,-0.003070856099439018,-0.00034519879095413526,-0.0006705533246055934,-0.006316065201750372,-0.00673609499011281
