,cash_basis,mtm_rf,rf_index,spy_control,universe_control
2024-02-07,1.1283594965901944,1.1829689608050895,1.0703584911517459,1.101812453732625,1.1121031419428415
2024-02-08,1.1283594965901944,1.1819344660521724,1.0705725628499763,1.102036834275743,1.1134611839279436
2024-02-09,1.1283594965901944,1.18323390062943,1.0707866773625463,1.1057786730035584,1.1154503080012483
2024-02-12,1.1283594965901944,1.1887840562404535,1.0710008346980189,1.1055786998688537,1.1190503159407348
2024-02-13,1.1283594965901944,1.179666748118847,1.0712150348649585,1.0968846831345924,1.1089116050474412
2024-02-14,1.1283594965901944,1.1827529628853475,1.0714292778719314,1.1026737196354954,1.1160218304353808
2024-02-15,1.1283594965901944,1.1920106076629364,1.0716435637275057,1.1071275944653574,1.1235384322897877
2024-02-16,1.1283594965901944,1.190872669692793,1.071857892440251,1.1040285361332194,1.1209810552724218
2024-02-20,1.1283594965901944,1.1898394763208084,1.0720722640187392,1.1006114124831583,1.1186461938258407
2024-02-21,1.1283594965901944,1.195776465819743,1.072286678471543,1.1012633807614562,1.1200895208370167
2024-02-22,1.1283594965901944,1.1979178101458554,1.0725011358072374,1.1144273758504337,1.1284024709359575
2024-02-23,1.1283594965901944,1.199890980052272,1.0727156360343988,1.1149520694455541,1.1304831382545562
2024-02-26,1.1283594965901944,1.1940990247722525,1.0729301791616057,1.112662087004892,1.1283837753161583
2024-02-27,1.1283594965901944,1.1958935250318872,1.073144765197438,1.1139195074707193,1.1317926119005208
2024-02-28,1.1283594965901944,1.1949570217574408,1.0733593941504773,1.1131597288934718,1.1323605050970744
2024-02-29,1.13071922036023,1.1975824549195597,1.0735740660293074,1.1154167154107548,1.1363591202674546
2024-03-01,1.1346708345124885,1.1971423237160193,1.0737887808425133,1.1185806377543592,1.1387111598297595
2024-03-04,1.1346708345124885,1.1999873657734128,1.0740035385986817,1.1185287404554924,1.1396012762144727
2024-03-05,1.1346708345124885,1.2005565977355235,1.0742183393064013,1.1167398069383114,1.1385206468794282
2024-03-06,1.135090384038661,1.2033132156368413,1.0744331829742626,1.1178587758364422,1.1400932792062648
2024-03-07,1.1432718543856863,1.203374440584813,1.0746480696108573,1.1193839293505194,1.1413068179427153
2024-03-08,1.1432718543856863,1.2030765200351066,1.0748629992247796,1.1197348694701765,1.1415602596472993
