,cash_basis,mtm_rf,rf_index,spy_control,universe_control
2023-12-19,1.1547167158053733,1.2153352950705811,1.063318088011446,1.0693983535458391,1.0761973676940382
2023-12-20,1.1547167158053733,1.2147499488590747,1.0635307516290482,1.0692220148371518,1.0759390662391266
2023-12-21,1.1547167158053733,1.2154453695769376,1.063743457779374,1.0696734134034345,1.07645694251309
2023-12-22,1.1547167158053733,1.215523592083562,1.0639562064709298,1.0699260091881009,1.076735749187392
2023-12-26,1.1547167158053733,1.2160245737989774,1.064168997712224,1.0702384189813428,1.0770937738102102
2023-12-27,1.1547167158053733,1.2160914119426827,1.0643818315117664,1.0704858858043156,1.077342207479005
2023-12-28,1.1547167158053733,1.2162126966612057,1.0645947078780686,1.0706946203704777,1.077585123625489
2023-12-29,1.1547167158053733,1.2162673086864606,1.0648076268196442,1.070814488153779,1.0776802292743377
2024-01-02,1.1547167158053733,1.215635585442825,1.0650205883450081,1.0708614437351298,1.0778224230183224
2024-01-03,1.1547167158053733,1.21511690539935,1.065233592462677,1.0708400447987165,1.0776601600604425
2024-01-04,1.1547167158053733,1.2150768036142643,1.0654466391811694,1.0709525074644892,1.0778361038654156
2024-01-05,1.157725072751642,1.2153012772838698,1.0656597285090057,1.0711794455213997,1.0780908463376788
2024-01-08,1.157725072751642,1.2155328222984203,1.0658728604547074,1.0713832539795614,1.078295925969631
2024-01-09,1.157725072751642,1.2157643673129706,1.0660860350267984,1.0715870624377233,1.0785010056015831
2024-01-10,1.157725072751642,1.2159959123275208,1.0662992522338037,1.071790870895885,1.0787060852335353
2024-01-11,1.157725072751642,1.216227457342071,1.0665125120842505,1.071994679354047,1.0789111648654874
2024-01-12,1.157725072751642,1.2164590023566215,1.0667258145866674,1.0721984878122086,1.0791162444974396
2024-01-16,1.157725072751642,1.2166905473711718,1.0669391597495848,1.0724022962703703,1.079321324129392
2024-01-17,1.157725072751642,1.2169220923857222,1.0671525475815347,1.072606104728532,1.079526403761344
2024-01-18,1.157725072751642,1.2171536374002725,1.067365978091051,1.072809913186694,1.0797314833932963
2024-01-19,1.157725072751642,1.2173851824148227,1.0675794512866692,1.0730137216448556,1.0799365630252484
2024-01-22,1.157725072751642,1.2176167274293732,1.0677929671769266,1.0732175301030176,1.0801416426572006
2024-01-23,1.157725072751642,1.2178482724439232,1.068006525770362,1.0734213385611793,1.0803467222891527
2024-01-24,1.157725072751642,1.2180798174584737,1.068220127075516,1.0736251470193412,1.080551801921105
2024-01-25,1.157725072751642,1.218311362473024,1.068433771100931,1.073828955477503,1.080756881553057
2024-01-26,1.157725072751642,1.2185429074875744,1.0686474578551513,1.0740327639356646,1.0809619611850092
2024-01-29,1.157725072751642,1.2187744525021247,1.0688611873467222,1.0742365723938265,1.0811670408169614
2024-01-30,1.157725072751642,1.219005997516675,1.0690749595841915,1.0744403808519882,1.0813721204489137
2024-01-31,1.157725072751642,1.2192375425312254,1.0692887745761084,1.0746441893101502,1.0815772000808657
2024-02-01,1.157725072751642,1.2194690875457757,1.0695026323310235,1.0748479977683119,1.081782279712818
2024-02-02,1.157725072751642,1.2196761444664512,1.0697165328574896,1.0750273181325989,1.0819628712508953
2024-02-05,1.157725072751642,1.2202178212482861,1.0699304761640611,1.075043000777928,1.0817320698647557
