feature,year,n_low,n_high,quarters,raw_gross_bps,spy_excess_gross_bps,borrow_bps,net_10bps,net_25bps,net_50bps,gross_ci_low_bps,gross_ci_high_bps,residual_gross_bps
prior_5,2023,192,186,4,-11.129836957891396,-30.366806701457886,11.24834290764472,-32.37817986553611,-47.37817986553611,-72.37817986553611,-52.43409161095058,50.4200363723416,-37.95897276229059
prior_5,2024,171,259,4,49.66233423028503,7.0427338316089,11.257735230337971,28.404598999947062,13.404598999947062,-11.595401000052938,-59.02263093954311,114.5088307580764,8.854049601598788
prior_5,2025,87,133,2,-237.66918673284394,-192.87874856746063,11.352353486455867,-259.0215402192998,-274.0215402192998,-299.0215402192998,-319.776509951667,-197.43981816167693,-32.969326127346086
cached_20,2015,113,71,3,-46.496664252750186,-63.90383309527293,11.217441636118078,-67.71410588886826,-82.71410588886826,-107.71410588886826,-88.99712419771124,8.951234594468948,249.9764796526926
cached_20,2016,168,162,4,8.651040569753466,4.593156473945746,11.278538812785387,-12.627498243031921,-27.627498243031923,-52.62749824303192,-53.793249981233195,36.34322461005108,280.7004480543396
cached_20,2017,131,149,4,37.53175505491727,40.73464051518943,11.319297600441297,16.212457454475974,1.2124574544759739,-23.787542545524026,-5.682437474587312,81.59209122779684,283.8337724915827
cached_20,2018,193,175,4,90.45744848580034,102.20204826323695,11.340117416829745,69.1173310689706,54.1173310689706,29.1173310689706,2.8637693200378544,141.82206204200835,356.8321179345138
cached_20,2019,177,210,4,-10.360512818784455,20.3354935636871,11.252446183953033,-31.61295900273749,-46.61295900273749,-71.61295900273748,-135.32825282302275,101.50084265982933,281.66518435822167
cached_20,2020,229,244,4,-151.16451204256037,-136.9277699337749,11.266000449135415,-172.4305124916958,-187.4305124916958,-212.4305124916958,-271.1073358763555,91.03373642111958,163.6817510622213
cached_20,2021,222,138,4,91.7191742496137,129.37092535721456,11.232876712328768,70.48629753728494,55.48629753728494,30.48629753728494,-94.11893821872894,273.5620984626541,361.9263722449696
cached_20,2022,243,268,4,15.68720508024102,7.848760555791449,11.284502146800245,-5.597297066559225,-20.597297066559225,-45.59729706655922,-9.684669847224818,48.02240741255528,257.23162199361417
cached_20,2023,212,232,4,9.676737725380349,-3.4895629494219813,11.2925129900803,-11.615775264699952,-26.615775264699952,-51.61577526469995,-53.618552151244515,60.19846168286845,255.00860143351215
cached_20,2024,243,278,4,-66.26017961865028,-92.62538723887779,11.246673893761704,-87.506853512412,-102.506853512412,-127.506853512412,-276.17925949557025,93.6030615749635,236.08241745676315
cached_20,2025,139,137,2,-219.84320700041062,-272.96462829603985,11.38086191380862,-241.22406891421923,-256.22406891421923,-281.22406891421923,-332.0501695620262,-219.84320700041062,159.05575059529153
prior_20,2015,131,69,3,3.304523482296779,-28.888708786570447,11.185229303156639,-17.88070582085986,-32.88070582085986,-57.88070582085986,-109.58518654805881,102.38300750631267,119.85563786602111
prior_20,2016,168,179,4,-19.607554306006815,-6.308758090581195,11.240529578327083,-40.848083884333896,-55.848083884333896,-80.8480838843339,-108.25613831630582,104.6500290116871,103.58423548986913
prior_20,2017,114,125,4,93.81530176954126,88.99745863602489,11.312876712328764,72.5024250572125,57.502425057212506,32.502425057212506,12.31564402788069,160.44036686957946,113.08508211279526
prior_20,2018,174,151,4,150.6258412711083,157.5678433471352,11.381656536333121,129.2441847347752,114.24418473477519,89.24418473477519,121.88884217217553,175.20162829079638,235.42835454311563
prior_20,2019,175,191,4,59.78068903404913,106.71011428050873,11.295990819766189,38.48469821428294,23.484698214282943,-1.5153017857170568,-46.708411151586,208.62662588633614,173.95085265168606
prior_20,2020,249,296,4,-205.32065856462214,-147.6412015395739,11.25416512402814,-226.57482368865027,-241.57482368865027,-266.57482368865027,-405.437709109382,59.370645697724505,-33.0625008651233
prior_20,2021,241,170,4,78.04737849671172,113.40945629183682,11.204673650282032,56.84270484642968,41.84270484642968,16.842704846429683,-102.0245413044836,222.00066510018402,221.5549300153135
prior_20,2022,229,325,4,24.162661746028444,8.644883651267492,11.246364594309798,2.9162971517186467,-12.083702848281353,-37.083702848281355,-28.008069541882776,76.80800953049433,134.96530306800582
prior_20,2023,206,229,4,161.05127098608926,138.8224232161468,11.24842974217862,139.80284124391065,124.80284124391065,99.80284124391065,24.19155103835689,366.15738246429623,167.0737223971184
prior_20,2024,207,268,4,-63.01186378309913,-90.8368782253178,11.20629728071969,-84.21816106381883,-99.21816106381883,-124.21816106381883,-264.88653355967153,58.89709441953196,-5.42685213611799
prior_20,2025,132,171,2,-180.91844453756514,-284.94272888574085,11.381879355924056,-202.30032389348918,-217.30032389348918,-242.30032389348918,-326.69685084636427,-180.91844453756514,-1.9647349461664123
raw_reaction,2015,105,100,3,-12.022302703812178,-38.3441661644219,11.194520547945205,-33.21682325175738,-48.21682325175738,-73.21682325175738,-148.62944627620135,40.8518221421752,258.2546351695038
raw_reaction,2016,172,172,4,-19.952846126045504,-33.91849961418287,11.296591271105447,-41.24943739715095,-56.24943739715095,-81.24943739715096,-78.2011179047311,99.50913527643735,261.7162831548804
raw_reaction,2017,147,153,4,-33.616354754979994,-28.45357978781564,11.278538812785387,-54.89489356776538,-69.89489356776538,-94.89489356776538,-98.1791440937782,37.053878606900135,299.7814310276353
raw_reaction,2018,227,181,4,-13.602251438389672,-7.673833093356656,11.318398546885643,-34.92064998527532,-49.92064998527532,-74.92064998527532,-133.640486356067,76.34848822890167,296.9014938236598
raw_reaction,2019,174,211,4,-115.06941882507552,-71.13650073093187,11.228332143089009,-136.2977509681645,-151.2977509681645,-176.2977509681645,-274.9300798923315,18.082014288123734,270.48613388949286
raw_reaction,2020,186,194,4,-207.74910991029168,-117.50041492574219,11.267476345148989,-229.01658625544067,-244.01658625544067,-269.01658625544064,-313.0566084652532,-102.66888959648007,250.99571384433548
raw_reaction,2021,180,131,4,72.3116530103832,40.66565145603938,11.318623862804559,50.99302914757864,35.99302914757864,10.993029147578639,-44.74294226978904,131.82486477831904,338.9928193685196
raw_reaction,2022,273,226,4,44.727549328770486,48.81831903402291,11.315917080858286,23.411632247912202,8.411632247912202,-16.588367752087798,-5.247952294859586,104.8185057548989,326.57454597576003
raw_reaction,2023,230,237,4,-141.08668356304082,-135.04565361088171,11.317842899254376,-162.4045264622952,-177.4045264622952,-202.4045264622952,-183.71423406904432,-85.80357037092294,187.5747310201741
raw_reaction,2024,319,291,4,-17.01499702262729,-34.249993081330715,11.34161841547804,-38.35661543810533,-53.35661543810533,-78.35661543810534,-92.96849400758613,74.82743847799591,306.0531116361224
raw_reaction,2025,166,123,2,-60.76287349905692,-30.551079614714865,11.356498496491813,-82.11937199554873,-97.11937199554873,-122.11937199554873,-157.22609014598754,85.25531194433694,311.8835585971035
raw_prior_20,2015,91,80,3,-172.1832101779309,-44.183660821416424,11.29109589041096,-193.47430606834186,-208.47430606834186,-233.47430606834186,-278.9952606802579,185.43128356051997,243.07083890689051
raw_prior_20,2016,254,125,4,75.20460876348001,-14.628854286578242,11.115616438356163,54.088992325123854,39.088992325123854,14.088992325123854,-84.13753577656193,121.28342524463638,197.04082945853935
raw_prior_20,2017,58,66,4,160.56171965795716,141.99085328514315,11.326276463262763,139.2354431946944,124.2354431946944,99.2354431946944,111.72048824118312,260.6688329914362,426.03606274887755
raw_prior_20,2018,325,78,4,121.41670607538316,80.31365277755732,11.380400421496313,100.03630565388684,85.03630565388684,60.03630565388684,-6.440262207868443,240.372074624963,307.50500111236175
raw_prior_20,2019,117,227,4,27.608605388119052,41.07513455977733,11.331241325206687,6.2773640629123655,-8.722635937087635,-33.72263593708763,-35.890281760332414,295.7264444171853,276.1379679739139
raw_prior_20,2020,166,435,4,-88.19067886910031,66.17127051950362,11.227208313651392,-109.4178871827517,-124.4178871827517,-149.4178871827517,-520.7152177673908,664.4145373869935,314.25974139591676
raw_prior_20,2021,108,199,4,98.20051606907802,68.41951709745777,11.240448819439665,76.96006724963836,61.96006724963836,36.96006724963836,-3.7718661518061984,247.5804241570483,430.5470456883889
raw_prior_20,2022,401,231,4,-24.18570262033631,25.210947880014544,11.209749154954633,-45.395451775290944,-60.395451775290944,-85.39545177529095,-164.96986727125451,296.7657623442645,276.64008864343305
raw_prior_20,2023,198,181,4,412.23970342980795,167.98383644310945,11.307046090971014,390.9326573388369,375.9326573388369,350.9326573388369,64.50678176809575,461.00181219120935,440.2719797969365
raw_prior_20,2024,177,154,4,-141.45576433537124,-208.44375138619523,11.2186443693293,-162.67440870470054,-177.67440870470054,-202.67440870470054,-390.57460256530857,94.5555071646789,172.22342822815227
raw_prior_20,2025,166,112,2,57.56573923580416,-11.071116297112164,11.521526418786692,36.04421281701747,21.044212817017467,-3.955787182982533,-6.3337676160032945,64.69375139584305,290.5020952093725
