feature,period,decile,n,raw_mean_bps,residual_mean_bps
raw_reaction,confirmation,1,485,165.49731602740485,254.3126060139372
raw_reaction,confirmation,2,281,202.54834533542248,157.6103464987387
raw_reaction,confirmation,3,245,226.83746802330603,137.64712808077076
raw_reaction,confirmation,4,234,196.8364855512103,42.51762722818948
raw_reaction,confirmation,5,225,237.63176820061568,6.968429370507501
raw_reaction,confirmation,6,220,316.7354096475939,-44.01768706933723
raw_reaction,confirmation,7,236,255.58778247929396,-59.285243254829844
raw_reaction,confirmation,8,221,367.64059929013405,4.211540654813873
raw_reaction,confirmation,9,307,228.0879180779777,-123.9298688781677
raw_reaction,confirmation,10,414,242.6096946491482,-360.5995757929112
raw_reaction,discovery,1,1011,98.62527064903544,318.1841158475249
raw_reaction,discovery,2,1011,154.91838195805894,139.4106235697057
raw_reaction,discovery,3,1011,106.15198191502962,25.91826410165763
raw_reaction,discovery,4,1011,115.05067450815787,22.292558926762062
raw_reaction,discovery,5,1011,125.46907026807264,1.688401626870358
raw_reaction,discovery,6,1011,67.40944034299719,-49.535189783823846
raw_reaction,discovery,7,1011,111.13548299377754,-34.10944818916044
raw_reaction,discovery,8,1011,94.37617963874933,-89.60947946071136
raw_reaction,discovery,9,1011,196.90999208286465,-95.68975210745053
raw_reaction,discovery,10,1011,245.2612572165384,-233.2960981205905
raw_reaction,validation,1,683,135.89074069181103,325.39899833098985
raw_reaction,validation,2,549,147.43380305950856,159.42275045977033
raw_reaction,validation,3,575,155.11169629739652,111.84591569940258
raw_reaction,validation,4,498,92.17340127074583,27.341695654778317
raw_reaction,validation,5,561,104.89489968046546,12.891350056855947
raw_reaction,validation,6,510,110.52196691341476,-51.89586712698167
raw_reaction,validation,7,503,108.50988889211771,-59.22580255602117
raw_reaction,validation,8,577,83.41381537081303,-80.94034351458124
raw_reaction,validation,9,560,125.46863274188651,-117.75476971095178
raw_reaction,validation,10,594,172.5170525203841,-233.3250313474122
raw_prior_20,confirmation,1,343,280.1003905082321,204.47935129274313
raw_prior_20,confirmation,2,364,265.229661630292,83.9927045860168
raw_prior_20,confirmation,3,344,207.27604243818982,29.98880875686789
raw_prior_20,confirmation,4,278,238.49553399769957,18.789157054760654
raw_prior_20,confirmation,5,247,214.6039579860294,23.566662714235125
raw_prior_20,confirmation,6,245,172.73259210678364,6.371281131684123
raw_prior_20,confirmation,7,251,191.67376347484648,-13.466420470480198
raw_prior_20,confirmation,8,268,153.33999220794374,-97.41578635858062
raw_prior_20,confirmation,9,262,209.68431510527586,-101.31070641608852
raw_prior_20,confirmation,10,266,392.1236785327454,-243.6420421085292
raw_prior_20,discovery,1,1011,254.94708273254437,341.2993044147661
raw_prior_20,discovery,2,1011,136.84021337212445,153.11291406780472
raw_prior_20,discovery,3,1011,130.95308211271157,83.2363904000972
raw_prior_20,discovery,4,1011,82.98241891411045,20.343596138624903
raw_prior_20,discovery,5,1011,105.09225027992015,-3.206855553341128
raw_prior_20,discovery,6,1011,66.36302194849588,-49.28707486248189
raw_prior_20,discovery,7,1011,83.10091418201377,-62.76088960752128
raw_prior_20,discovery,8,1011,51.85030028437808,-121.43085288727193
raw_prior_20,discovery,9,1011,78.37330962424359,-141.47643279759092
raw_prior_20,discovery,10,1011,324.8051381227393,-214.57610290230173
raw_prior_20,validation,1,707,222.39276236013836,404.58145571030036
raw_prior_20,validation,2,662,221.91715396075443,174.98239851322606
raw_prior_20,validation,3,594,134.48461735527684,71.30782501258278
raw_prior_20,validation,4,492,152.06410546401028,34.84733740997374
raw_prior_20,validation,5,475,179.56506439462058,90.61365292326524
raw_prior_20,validation,6,460,102.42603798746595,8.939020949229175
raw_prior_20,validation,7,456,99.60009793324834,-87.68293618003447
raw_prior_20,validation,8,554,89.95374317117076,-135.15833219399977
raw_prior_20,validation,9,599,20.12294625564843,-203.55393053332926
raw_prior_20,validation,10,611,1.5562621696989387,-301.6534207815321
