date,return,nav,gross
2022-09-15,-0.002587065402583577,99700.82007363939,0.25681640857110877
2022-09-16,-0.00442063917275759,99260.0787228658,0.25566446672586157
2022-09-19,-0.0021840871701628295,99043.28605841784,0.25550977361470734
2022-09-20,-0.0027378664805152164,98772.11876539842,0.2518238897049909
2022-09-21,-0.00219997635630953,98554.82243945195,0.25086222750856496
2022-09-22,-0.00018445909377928782,98536.64310621719,0.2971127804599071
2022-09-23,-0.0028686199739992313,98253.97892363186,0.3343506900920956
2022-09-26,-0.000924619163155671,98163.13141186278,0.3337346483802414
2022-09-27,-0.0005021167297901696,98113.8420613323,0.3333999373366991
2022-09-28,0.005714724622921885,98674.53565040967,0.33718772695385074
2022-09-29,-0.005762510350798555,98105.92261736395,0.3333461271109275
2022-09-30,-0.0033596434665659203,97776.3216954111,0.29435786747687553
2022-10-03,0.007456263062131541,98505.36767121968,0.2995803804143839
2022-10-04,0.008653334746208774,99357.76759197711,0.30558934823543576
2022-10-05,-0.00046562131129646023,99311.50449794345,0.3052658652165954
2022-10-06,-0.0010855911991680678,99203.69280268434,0.30451084831440867
2022-10-07,-0.009976729160113496,98213.96442790885,0.29750221820990846
2022-10-10,-0.0021201281535068173,98005.73823685772,0.2960096684882737
2022-10-11,-0.0009523867818197473,97912.39886721845,0.2953385582454887
2022-10-12,-0.001508114667920335,97764.73574231553,0.29427424287964643
2022-10-13,0.006026944538169543,98353.95838242327,0.20288041428747589
2022-10-14,-0.004832223524663726,97878.69007098392,0.33784029197362214
2022-10-17,0.007782153848203466,98640.39709557695,0.342953528698708
2022-10-18,0.0044575334764098695,99080.08996775685,0.43644877088129225
2022-10-19,-0.003400043621323956,98743.21333986177,0.5347816103522419
2022-10-20,-0.004934037683918313,98256.01060421171,0.5032021479068163
2022-10-21,0.014470108382065527,99677.78572684404,0.40766073304398065
2022-10-24,0.0027498004359802763,99951.87974549326,0.4092850811852774
2022-10-25,0.0058454448381661805,100536.14294501657,0.42094156462173576
2022-10-26,0.0031443464144742528,100852.2634056108,0.5645654161722692
2022-10-27,-0.0008152538845230817,100770.04320610643,0.6123458356120334
2022-10-28,0.002406663056998104,101012.56274634268,0.6253537747270018
2022-10-31,0.0022501934155791936,101239.86054992527,0.6202017072056073
2022-11-01,0.003768399495347019,101621.3727893306,0.6184456324563965
2022-11-02,-0.006101469697701978,101001.33306261763,0.6135269053663844
2022-11-03,-0.005507080017834065,100445.11063953389,0.6146093985800153
2022-11-04,0.0011488577627341012,100560.5077846208,0.6260474761679796
2022-11-07,-0.0006364815539987578,100496.50287635514,0.6358073799117444
2022-11-08,-0.00029619566535521447,100466.7362478198,0.6409638098846518
2022-11-09,-0.003224065847387325,100142.82487468474,0.6332121145332814
2022-11-10,0.01055310288293776,101199.6424085753,0.6617535565357697
2022-11-11,0.0027833628421467527,101481.31773289386,0.5144951063213328
2022-11-14,0.00040469892245620365,101522.38711282979,0.5092973051184849
2022-11-15,-0.0013069259132575395,101389.70487433627,0.40977964287631097
2022-11-16,0.0013616471647803774,101527.76187851632,0.2961861201250003
2022-11-17,-0.00021510872755126087,101505.9223708475,0.2925000117219945
2022-11-18,0.0009253612791555454,101599.85202101446,0.2912870931944737
2022-11-21,0.0026722080613015287,101871.34796461207,0.2870254484325309
2022-11-22,-0.003933712357493513,101470.61538424915,0.28466411106487916
2022-11-23,-0.004915713011387823,100971.81495993126,0.12545493826850132
2022-11-25,0.0007937778952282759,101051.96415468754,0.07742354214238134
2022-11-28,0.0020991341303728817,101264.08578158586,0.07515767584544743
2022-11-29,0.0008839148967114685,101353.59461551008,0.07419933399020451
2022-11-30,-0.006122041244670862,100733.10372897828,0.08080651512302219
2022-12-01,-0.0010220336520284645,100630.15110709399,0.08190251556780864
2022-12-02,0.0012231470652308563,100753.23658109436,0.0889930077277841
2022-12-05,0.0015892555192895674,100913.35921841714,0.0872546782594585
2022-12-06,0.003313185554382647,101247.70390242383,0.08365433851381007
2022-12-07,-0.0005143359935428915,101195.62856404325,0.08420196372044754
2022-12-08,-0.005238702202517542,100665.49480179965,0.08990098397483055
2022-12-09,0.0008298543962885763,100749.0325052155,0.08898668114627509
2022-12-12,-0.002763891085648895,100470.57315238658,0.09199391199822442
2022-12-13,-0.002757848318886702,100193.49055112069,0.09500248412948521
2022-12-14,0.0020625588601153044,100400.14552278278,0.092737585580766
2022-12-15,0.003914764925964098,100793.18849103707,0.007538352943435995
2022-12-16,0.00014328339306057813,100807.63048108146,0.1070399376186062
2022-12-19,-0.00291841806683657,100513.43167101049,0.10420424963887562
2022-12-20,0.0028124384055798757,100796.11950651866,0.10649514014496474
2022-12-21,0.001199963195611664,100917.07114018695,0.10796574011369116
2022-12-22,-0.0011293100321396743,100803.10447933419,0.10628000802959488
2022-12-23,0.0005266168520496883,100856.18909289193,0.10679641585491349
2022-12-27,-0.0005848947695249462,100797.19883541728,0.10584503451064103
2022-12-28,-0.0015464855051129378,100641.31742846232,0.10420809952420473
2022-12-29,0.002264084528753596,100869.17787820548,0.10675198297660446
2022-12-30,-0.00043945057516514563,100824.85085997047,0.09949337709735305
2023-01-03,0.00043631644666008995,100868.84240063271,0.09988611159073305
2023-01-04,0.0008647401845787162,100956.06774202848,0.10066380373908605
2023-01-05,-0.0034251151392846735,100610.2815860026,0.09757288697215342
2023-01-06,0.0015677963424389763,100768.0180174849,0.0989854942188016
2023-01-09,0.002443451453352896,101014.23977756122,0.10118171306830522
2023-01-10,-0.0005784777459917345,100955.80528782163,0.10066146574012294
2023-01-11,0.0016555861576825759,101122.94632159384,0.10214793718696306
2023-01-12,0.0006283774399051811,101186.48969971907,0.1027117728659865
2023-01-13,-0.0002608532953184417,101160.09487043919,0.0
2023-01-17,0.0,101160.09487043919,0.0
2023-01-18,0.0,101160.09487043919,0.0
2023-01-19,0.0,101160.09487043919,0.0
2023-01-20,0.0,101160.09487043919,0.0
2023-01-23,0.0,101160.09487043919,0.0
2023-01-24,0.0,101160.09487043919,0.0
2023-01-25,0.0,101160.09487043919,0.0
2023-01-26,0.0,101160.09487043919,0.0
2023-01-27,0.0,101160.09487043919,0.0
2023-01-30,0.0,101160.09487043919,0.0
2023-01-31,0.0,101160.09487043919,0.0
2023-02-01,0.0,101160.09487043919,0.0
2023-02-02,-1.3663767869265264e-05,101158.71264238525,0.027327909140728256
2023-02-03,0.0005562897756252738,101214.98619994361,0.24789984787197972
2023-02-06,0.0036703850926347314,101586.4841764431,0.24307700007457675
2023-02-07,-0.009099043703792331,100662.14431720704,0.2548002035224794
