date,return,nav,cost,turnover,gross,cash_dollars,interest_dollars,cost_dollars
2025-09-16,-0.0027929479332741147,1.1243006890629634,0.0,0.0,1.0000000000000002,-2.5166387185156778e-11,-2.6868838761065593e-15,0.0
2025-09-17,-0.001331589807350042,1.1228035817250106,0.0,0.0,1.0000000000000002,-2.5169067465753366e-11,-2.6802805965864187e-15,0.0
2025-09-18,0.012937062199096516,1.1373293614991553,0.0,0.0,1.0000000000000002,-2.5171732871741747e-11,-2.665405988381465e-15,0.0
2025-09-19,0.011721548677799731,1.1506606229726586,0.0,0.0,1.0000000000000002,-2.517440683002848e-11,-2.673958286736049e-15,0.0
2025-09-22,0.00978149182816801,1.1619158004532604,0.0,0.0,1.0000000000000002,-2.5182425421421915e-11,-8.018591393431665e-15,0.0
2025-09-23,-0.014478776607325328,1.145092681141976,0.0,0.0,1.0000000000000002,-2.5185078452887225e-11,-2.6530314653101933e-15,0.0
2025-09-24,-0.01475766790325006,1.1281937836352405,0.0,0.0,1.0000000000000002,-2.5187729695251958e-11,-2.6512423647338056e-15,0.0
2025-09-25,-0.011854983985907563,1.1148190643972442,0.0,0.0,1.0000000000000002,-2.5190390181553754e-11,-2.660486301797658e-15,0.0
2025-09-26,0.00636679687614361,1.121916890933914,0.0,0.0,1.0000000000000002,-2.519306819065657e-11,-2.6780091028184253e-15,0.0
2025-09-29,0.01427987593005331,1.1379377249402813,0.0,0.0,1.0000000000000002,-2.5201055479410007e-11,-7.987288753435429e-15,0.0
2025-09-30,0.00037750388509838473,1.1383673008524464,0.0,0.0,1.0000000000000002,-2.5203720823015813e-11,-2.6653436058043563e-15,0.0
2025-10-01,-0.0016313561844749636,1.1365102183159965,0.0,0.0,1.0000000000000002,-2.5206374027869628e-11,-2.6532048538146486e-15,0.0
2025-10-02,0.00826514695707492,1.1459036422885955,0.0002552164416646832,0.5104328833293663,1.0000000000000002,-2.4370587083830362e-11,-2.6534841576541784e-15,29.31707392950473
2025-10-03,-0.007375611809773974,1.137451901851669,0.0,0.0,1.0000000000000002,-2.43731545860975e-11,-2.5675022671360054e-15,0.0
2025-10-06,-0.0037272796044318657,1.1332123005768748,0.0,0.0,1.0000000000000002,-2.4380877923376302e-11,-7.723337278801996e-15,0.0
2025-10-07,-0.0009985932702673006,1.1320806823997347,0.0,0.0,1.0000000000000002,-2.4383454519850678e-11,-2.5765964743758153e-15,0.0
2025-10-08,0.012451886461347428,1.146177222522061,0.0,0.0,1.0000000000000002,-2.4386020039744958e-11,-2.5655198942785137e-15,0.0
2025-10-09,0.0013872112586525986,1.1477672124695548,0.0,0.0,1.0000000000000002,-2.4388585829571963e-11,-2.5657898270036975e-15,0.0
2025-10-10,-0.047311603330423724,1.093464505397529,0.0,0.0,1.0000000000000002,-2.4391158566584617e-11,-2.5727370126531654e-15,0.0
2025-10-13,0.028703370059687927,1.1248506217430878,0.0,0.0,1.0000000000000002,-2.4398877591811942e-11,-7.719025227324455e-15,0.0
2025-10-14,-0.004906231185328069,1.1193318445438563,0.0,0.0,1.0000000000000002,-2.4401451414496303e-11,-2.5738226843614494e-15,0.0
2025-10-15,0.0006010313513309384,1.1200045980749702,0.0,0.0,1.0000000000000002,-2.4404025508691647e-11,-2.5740941953432807e-15,0.0
2025-10-16,-0.011728413934480986,1.106868720540225,0.0,0.0,1.0000000000000002,-2.4406603215232098e-11,-2.577706540452267e-15,0.0
2025-10-17,-0.0063687623068743315,1.0998193367541902,0.0,0.0,1.0000000000000002,-2.4409177852887754e-11,-2.5746376556540757e-15,0.0
2025-10-20,0.007355211165935627,1.1079087402203964,0.0,0.0,1.0000000000000002,-2.4416860478756443e-11,-7.682625868688065e-15,0.0
2025-10-21,0.000949781007378192,1.108961010899766,0.0,0.0,1.0000000000000002,-2.4419399431212937e-11,-2.538952456494503e-15,0.0
2025-10-22,-0.023659888193404255,1.082723117371033,0.0,0.0,1.0000000000000002,-2.442192995630378e-11,-2.530525090843938e-15,0.0
2025-10-23,0.021884886273493942,1.1064183896603808,0.0,0.0,1.0000000000000002,-2.442446274954904e-11,-2.532793245257283e-15,0.0
2025-10-24,0.022358015469383652,1.1311557091320181,0.0,0.0,1.0000000000000002,-2.4426995805469752e-11,-2.533055920714739e-15,0.0
2025-10-27,0.012302597651945524,1.1450718627031704,0.0,0.0,1.0000000000000002,-2.4434545603046387e-11,-7.549797576634699e-15,0.0
2025-10-28,-0.015294843379523582,1.1275581679048259,0.0,0.0,1.0000000000000002,-2.443703287584495e-11,-2.487272798563991e-15,0.0
2025-10-29,0.014216475116837657,1.1435880705416321,0.0,0.0,1.0000000000000002,-2.4439521739992722e-11,-2.4888641477698106e-15,0.0
2025-10-30,-0.02663947296169833,1.1131234870571174,0.0,0.0,1.0000000000000002,-2.4442017548796454e-11,-2.495808803732231e-15,0.0
2025-10-31,0.01358011431672268,1.1282398312599822,0.0,0.0,1.0000000000000002,-2.444453168046476e-11,-2.5141316683071074e-15,0.0
2025-11-03,0.0009182202659707706,1.1292758039379205,0.0,0.0,1.0000000000000002,-2.445199654840749e-11,-7.464867942730487e-15,0.0
2025-11-04,-0.042592245096914616,1.0811774121145812,0.000468909038949174,0.937818077898348,0.9999999999999999,1.1967891522582525e-11,-2.5325640727192772e-15,51.46339797563628
2025-11-05,0.041015700621816364,1.125522661168943,0.0,0.0,0.9999999999999999,1.196913434838238e-11,1.2428257998552512e-15,0.0
2025-11-06,-0.026786377720871446,1.0953739860334712,0.0,0.0,0.9999999999999999,1.1970375664801e-11,1.2413164186205046e-15,0.0
2025-11-07,0.009538583176611937,1.1058223019087485,0.0,0.0,0.9999999999999999,1.1971608916649423e-11,1.2332518484226213e-15,0.0
2025-11-10,0.04381612758643616,1.154275152977109,0.0,0.0,0.9999999999999999,1.1975303153555749e-11,3.6942369063250414e-15,0.0
2025-11-11,-0.01775468601881991,1.1337813600566748,0.0,0.0,0.9999999999999999,1.1976543470372683e-11,1.2403168169346224e-15,0.0
2025-11-12,-0.005094753623404169,1.128005023364378,0.0,0.0,0.9999999999999999,1.1977783915652822e-11,1.2404452801381543e-15,0.0
2025-11-13,-0.05117557239644688,1.0702787206276385,0.0,0.0,0.9999999999999999,1.1979022849780868e-11,1.2389341280473855e-15,0.0
2025-11-14,0.008791702810988289,1.0796882930643215,0.0,0.0,0.9999999999999999,1.1980266831532095e-11,1.2439817512275232e-15,0.0
2025-11-17,-0.006816481666800711,1.0723286176087892,0.0,0.0,0.9999999999999999,1.198399424443045e-11,3.727412898355164e-15,0.0
2025-11-18,-0.01443961604091526,1.0568446041008328,0.0,0.0,0.9999999999999999,1.1985231852293049e-11,1.237607862599321e-15,0.0
2025-11-19,0.01816532222116951,1.0760425268720288,0.0,0.0,0.9999999999999999,1.1986469587965557e-11,1.237735672508966e-15,0.0
2025-11-20,-0.06032136044245873,1.011134177757167,0.0,0.0,0.9999999999999999,1.1987707451461174e-11,1.237863495617762e-15,0.0
2025-11-21,0.00964916221361456,1.0208907754580756,0.0,0.0,0.9999999999999999,1.1988946427416615e-11,1.2389759554415552e-15,0.0
2025-11-24,0.06203359913477535,1.084220304583232,0.0,0.0,0.9999999999999999,1.1992629274213566e-11,3.682846796950608e-15,0.0
2025-11-25,0.012949243935699517,1.0982601377873185,0.0,0.0,0.9999999999999999,1.1993853983520112e-11,1.2247093065450475e-15,0.0
2025-11-26,0.027341314627368662,1.1282880137572588,0.0,0.0,0.9999999999999999,1.199507947467456e-11,1.2254911544478647e-15,0.0
2025-11-28,0.0206415355751286,1.1515776109322204,0.0,0.0,0.9999999999999999,1.1997544500466216e-11,2.4650257916561485e-15,0.0
2025-12-01,-0.008084964148732499,1.1422671472333503,0.0,0.0,0.9999999999999999,1.2001187615237353e-11,3.6431147711369695e-15,0.0
2025-12-02,0.006229501130414095,1.1493829017182755,0.000279777607441939,0.559555214883878,1.0000000000000002,-2.0412558564079508e-11,1.2134260589070484e-15,32.278360484908845
2025-12-03,0.0005036683351005156,1.1499618094907769,0.0,0.0,1.0000000000000002,-2.041461071777275e-11,-2.0521536932424583e-15,0.0
2025-12-04,0.012390300868384552,1.1642101822975195,0.0,0.0,1.0000000000000002,-2.0416642397711543e-11,-2.03167993879302e-15,0.0
2025-12-05,0.013921557243404381,1.1804178009937285,0.0,0.0,1.0000000000000002,-2.0418661423368132e-11,-2.0190256565882046e-15,0.0
2025-12-08,0.0162398569457316,1.199587617218062,0.0,0.0,1.0000000000000002,-2.0424704005346737e-11,-6.042581978605391e-15,0.0
2025-12-09,0.01306497939236384,1.2152602047163508,0.0,0.0,1.0000000000000002,-2.042672718343612e-11,-2.0231780893814374e-15,0.0
2025-12-10,0.02662440726849269,1.2476157873439107,0.0,0.0,1.0000000000000002,-2.042875839144452e-11,-2.031208008401526e-15,0.0
2025-12-11,0.005318299653846559,1.2542509819538754,0.0,0.0,1.0000000000000002,-2.043076798836651e-11,-2.0095969219892724e-15,0.0
2025-12-12,-0.05002212498382608,1.191510682573492,0.0,0.0,1.0000000000000002,-2.0432763798955975e-11,-1.995810589464865e-15,0.0
2025-12-15,-0.002091735453547572,1.1890183574354722,0.0,0.0,1.0000000000000002,-2.043867965064714e-11,-5.9158516911655055e-15,0.0
2025-12-16,-0.004793767990791342,1.1833184792931348,0.0,0.0,1.0000000000000002,-2.0440659446698807e-11,-1.979796051665328e-15,0.0
2025-12-17,-0.03423407455449501,1.142808666251302,0.0,0.0,1.0000000000000002,-2.044264335194995e-11,-1.983905251144307e-15,0.0
2025-12-18,0.033358341626639865,1.1809308681539976,0.0,0.0,1.0000000000000002,-2.044462633032216e-11,-1.9829783722118398e-15,0.0
2025-12-19,0.03685999515067562,1.2244599742274371,0.0,0.0,1.0000000000000002,-2.0446597746487972e-11,-1.971416165809742e-15,0.0
2025-12-22,0.01274665846133094,1.2400677473184842,0.0,0.0,1.0000000000000002,-2.0452512565279272e-11,-5.91481879130049e-15,0.0
2025-12-23,0.003507753812540315,1.2444175996869489,0.0,0.0,1.0000000000000002,-2.0454488101671057e-11,-1.9755363917842476e-15,0.0
2025-12-24,0.006716377107653937,1.252775577565848,0.0,0.0,1.0000000000000002,-2.0456474469032924e-11,-1.9863673618652703e-15,0.0
2025-12-26,-0.004324572817588135,1.2473578583565683,0.0,0.0,1.0000000000000002,-2.046045655079079e-11,-3.982081757866067e-15,0.0
2025-12-29,-0.01175374570212695,1.2326967312898955,0.0,0.0,1.0000000000000002,-2.0466410669657995e-11,-5.954118867205319e-15,0.0
2025-12-30,-0.004763897077629253,1.2268242909341005,0.0,0.0,1.0000000000000002,-2.0468393151879357e-11,-1.9824822213634082e-15,0.0
2025-12-31,-0.014936000578658293,1.2085004426147967,0.0,0.0,1.0000000000000002,-2.047037694684108e-11,-1.983794961720621e-15,0.0
2026-01-02,0.030166898814339094,1.2449571531842414,0.0,0.0,1.0000000000000002,-2.0474352767546067e-11,-3.975820704988696e-15,0.0
2026-01-05,0.011249530487094761,1.258962336634114,0.00027142070108895835,0.5428414021779167,1.0000000000000002,-2.639200967512115e-11,-5.941346051049967e-15,34.40860450578339
2026-01-06,0.04154061380823748,1.311260404859348,0.0,0.0,1.0000000000000002,-2.6394549522260824e-11,-2.539847139676464e-15,0.0
2026-01-07,-0.011275884956430171,1.2964747833862318,0.0,0.0,1.0000000000000002,-2.6397093226951172e-11,-2.5437046903469413e-15,0.0
2026-01-08,-0.03852428509531425,1.246529019212175,0.0,0.0,1.0000000000000002,-2.6399633563308787e-11,-2.5403363576152952e-15,0.0
2026-01-09,0.0337284149123207,1.2885724671724113,0.0,0.0,1.0000000000000002,-2.6402168361778354e-11,-2.5347984695652575e-15,0.0
2026-01-12,0.01475984176917966,1.3075915928959974,0.0,0.0,1.0000000000000002,-2.6409786498760456e-11,-7.618136982100714e-15,0.0
2026-01-13,0.01687271806084012,1.3296542171816566,0.0,0.0,1.0000000000000002,-2.6412341071669384e-11,-2.554572908928953e-15,0.0
2026-01-14,-0.014371841304091526,1.3105446377830057,0.0,0.0,1.0000000000000002,-2.6414915416165038e-11,-2.5743444956554885e-15,0.0
2026-01-15,0.014077993592426452,1.3289944767963036,0.0,0.0,1.0000000000000002,-2.641749001157558e-11,-2.5745954105427502e-15,0.0
2026-01-16,-0.0017678168171890718,1.3266450580102718,0.0,0.0,1.0000000000000002,-2.642006847436553e-11,-2.578462789949017e-15,0.0
2026-01-20,0.0022023292217809853,1.329566767188459,0.0,0.0,1.0000000000000002,-2.6430360184864883e-11,-1.0291710499354926e-14,0.0
2026-01-21,0.019029699163722658,1.3548680227861387,0.0,0.0,1.0000000000000002,-2.643294496918483e-11,-2.584784319948094e-15,0.0
2026-01-22,0.0005309324826716644,1.355587366229169,0.0,0.0,1.0000000000000002,-2.643554158542336e-11,-2.596616238531342e-15,0.0
2026-01-23,-0.012848659959123765,1.3381698851156063,0.0,0.0,1.0000000000000002,-2.643813845673812e-11,-2.5968713147590595e-15,0.0
2026-01-26,0.00550471535001229,1.3455361294231265,0.0,0.0,1.0000000000000002,-2.644591680683306e-11,-7.778350094938537e-15,0.0
2026-01-27,0.03200250284917039,1.3885966532386516,0.0,0.0,1.0000000000000002,-2.6448505284693304e-11,-2.588477860245524e-15,0.0
2026-01-28,0.01447060730664207,1.4086904901149855,0.0,0.0,1.0000000000000002,-2.64510903952231e-11,-2.5851105297940282e-15,0.0
2026-01-29,0.003410863747637327,1.41349534143936,0.0,0.0,1.0000000000000002,-2.64536844487823e-11,-2.594053559199239e-15,0.0
2026-01-30,-0.04893277672322205,1.3443290894973934,0.0,0.0,1.0000000000000002,-2.6456277308147346e-11,-2.5928593650481767e-15,0.0
2026-02-02,0.029400339790977448,1.3838528215195118,0.0,0.0,1.0000000000000002,-2.6464039264882555e-11,-7.761956735208307e-15,0.0
2026-02-03,0.007957640104084618,1.3948650242301863,0.00020567581105381363,0.41135162210762727,1.0,-1.0063752635166786e-11,-2.592425306143495e-15,29.266035849630466
2026-02-04,-0.06441448200390676,1.305015516229032,0.0,0.0,1.0000000000000002,-1.0064741789748482e-11,-9.891545816966446e-16,0.0
2026-02-05,-0.015411856063425544,1.2849028049323732,0.0,0.0,1.0000000000000002,-1.0065732419372632e-11,-9.906296241505918e-16,0.0
2026-02-06,0.0683346152285993,1.3727061437135748,0.0,0.0,1.0,-1.006671846157079e-11,-9.860421981567221e-16,0.0
2026-02-09,0.034713547541004974,1.4203576436932057,0.0,0.0,1.0,-1.0069686799838797e-11,-2.9683382680086866e-15,0.0
2026-02-10,-0.019687974172570843,1.3923936790883602,0.0,0.0,1.0,-1.0070677364767444e-11,-9.905649286462172e-16,0.0
2026-02-11,0.0064798917390389565,1.4014162393869751,0.0,0.0,1.0,-1.0071667199972787e-11,-9.898352053426956e-16,0.0
2026-02-12,-0.023564486331590695,1.3683925855690715,0.0,0.0,1.0,-1.0072659889937452e-11,-9.926899646651062e-16,0.0
2026-02-13,0.01288439560340593,1.3860234969823109,0.0,0.0,1.0,-1.0073652126235426e-11,-9.922362979742334e-16,0.0
2026-02-17,0.0010887176402292198,1.3875324852132478,0.0,0.0,1.0,-1.0077615946242139e-11,-3.963820006712008e-15,0.0
2026-02-18,0.013144662801374718,1.4057711318573294,0.0,0.0,1.0,-1.0078607291168664e-11,-9.91344926524739e-16,0.0
2026-02-19,0.0038841807923650773,1.411231401086151,0.0,0.0,1.0,-1.0079601492984416e-11,-9.942018157527008e-16,0.0
2026-02-20,0.018196295469798063,1.436910584636572,0.0,0.0,1.0,-1.0080593585185804e-11,-9.920922013869594e-16,0.0
2026-02-23,-0.01082950344211664,1.4213495565142362,0.0,0.0,1.0,-1.0083570154732181e-11,-2.976569546377911e-15,0.0
2026-02-24,0.01648603044598307,1.4447819685773144,0.0,0.0,1.0,-1.0084560705048715e-11,-9.905503165338389e-16,0.0
2026-02-25,0.028341838715000955,1.4857297461090744,0.0,0.0,1.0,-1.0085551352671055e-11,-9.906476223406642e-16,0.0
2026-02-26,-0.01814746773962228,1.4587675134717626,0.0,0.0,1.0,-1.0086542097608761e-11,-9.907449377062365e-16,0.0
2026-02-27,-0.0001254911925422375,1.458584450996855,0.0,0.0,1.0,-1.0087532939871393e-11,-9.908422626314952e-16,0.0
2026-03-02,0.0166015064511702,1.482799150169656,0.0,0.0,1.0,-1.0090497473222647e-11,-2.9645333512538615e-15,0.0
2026-03-03,-0.05548455510693828,1.4005266990095464,0.0002946241328604333,0.5892482657208666,1.0000000000000002,-2.614975508470174e-11,-9.917833008294308e-16,41.90594915882107
2026-03-04,0.018180594793834493,1.4259891074221855,0.0,0.0,1.0000000000000002,-2.6152328893607356e-11,-2.57380890561679e-15,0.0
2026-03-05,-0.032037037710519245,1.3803046406129114,0.0,0.0,1.0000000000000002,-2.615490295584201e-11,-2.574062234654143e-15,0.0
2026-03-06,-0.05281490522866972,1.3074039818322474,0.0,0.0,1.0000000000000002,-2.6157472258876976e-11,-2.5693030349635377e-15,0.0
2026-03-09,0.060326958951726795,1.3862756881775655,0.0,0.0,1.0000000000000002,-2.616514225265258e-11,-7.669993775605022e-15,0.0
2026-03-10,0.02197590883057532,1.4167403563149987,0.0,0.0,1.0000000000000002,-2.616771614325948e-11,-2.573890606898702e-15,0.0
2026-03-11,0.0064803527039256625,1.425921333513805,0.0,0.0,1.0000000000000002,-2.6170291719995513e-11,-2.5755767360351048e-15,0.0
2026-03-12,-0.03214659567106992,1.380082816946584,0.0,0.0,1.0000000000000002,-2.6172871132663445e-11,-2.5794126679312893e-15,0.0
2026-03-13,0.0064889933958653945,1.3890381652314976,0.0,0.0,1.0000000000000002,-2.6175454382517858e-11,-2.5832498544136787e-15,0.0
2026-03-16,0.03154200191565448,1.4328512097001467,0.0,0.0,1.0000000000000002,-2.6183200596907436e-11,-7.74621438957773e-15,0.0
2026-03-17,0.019195129925728027,1.4603549748345777,0.0,0.0,1.0000000000000002,-2.6185784866275028e-11,-2.584269367590862e-15,0.0
2026-03-18,-7.364430911183106e-05,1.460247428001398,0.0,0.0,1.0000000000000002,-2.618836939070877e-11,-2.5845244337406077e-15,0.0
2026-03-19,0.02599700820837403,1.4982094923734075,0.0,0.0,1.0000000000000002,-2.619095775513733e-11,-2.5883644285609683e-15,0.0
2026-03-20,-0.044003257182055444,1.4322833947679037,0.0,0.0,1.0000000000000002,-2.6193547809596243e-11,-2.590054458913739e-15,0.0
2026-03-23,0.014412211653150875,1.452925766200592,0.0,0.0,1.0000000000000002,-2.62013316499884e-11,-7.78384039215465e-15,0.0
2026-03-24,0.03147310010289628,1.4986538442823005,0.0,0.0,1.0000000000000002,-2.6203922730333912e-11,-2.5910803455142413e-15,0.0
2026-03-25,0.0031901792278130614,1.503434818646012,0.0,0.0,1.0000000000000002,-2.620651980623494e-11,-2.597075901026907e-15,0.0
2026-03-26,-0.07613267427496895,1.3889743053043881,0.0,0.0,1.0000000000000002,-2.6209117139532664e-11,-2.5973332977268253e-15,0.0
2026-03-27,0.006097503880239774,1.3974435815205348,0.0,0.0,1.0000000000000002,-2.6211714730252603e-11,-2.59759071993738e-15,0.0
