date,GLD,SLV,USO,UNG,FXE,FXB,FXY,FXA,FXC,FXF,IEF,TLT,SPY,QQQ
2016-01-26,,,,,,,,,,,,,,
2016-01-27,,,,,,,,,,,,,,
2016-01-28,,,,,,,,,,,,,,
2016-01-29,,,,,,,,,,,,,,
2016-02-01,0.11525484794520621,0.08615313210004502,-0.03596116837516999,-0.03471372092154677,0.16419513862293963,-0.19684407723178024,-0.21159835798496937,-0.14838820425507743,-0.20371688511485295,-0.170491853790035,0.32281806307807437,0.13497316246169122,-0.09505297021757268,-0.07983841790103938
2016-02-02,,,,,,,,,,,,,,
2016-02-03,,,,,,,,,,,,,,
2016-02-04,,,,,,,,,,,,,,
2016-02-05,,,,,,,,,,,,,,
2016-02-08,0.11521849944112095,0.08363163582549925,-0.033987297458203364,-0.03487808514998712,0.15883912759197671,-0.20016134925475362,0.1847642517205795,0.14007359162075014,0.18694645752525738,0.16268966593340056,0.3141077330261861,0.12773038376155668,-0.09358871534566489,-0.07672836722259727
2016-02-09,,,,,,,,,,,,,,
2016-02-10,,,,,,,,,,,,,,
2016-02-11,,,,,,,,,,,,,,
2016-02-12,,,,,,,,,,,,,,
2016-02-16,0.10122692418481358,0.08274304217590896,-0.03433183310470313,-0.03613995471665138,0.164633857495786,0.20403802667046386,0.18257979763471313,0.1506989406225437,0.19590479929779253,0.1618770347464466,0.31935852516173696,0.1300432989348699,0.09369944418519077,-0.07755677810039353
2016-02-17,,,,,,,,,,,,,,
2016-02-18,,,,,,,,,,,,,,
2016-02-19,,,,,,,,,,,,,,
2016-02-22,0.102139946229796,0.08552750376781051,-0.03504084660735765,-0.037633295867274145,0.17235289625273406,-0.20522549686745065,0.19307104836257413,0.15347846707561505,0.19633098383343361,0.17044814963688262,0.33295476487016673,0.13485193188248432,0.09924746850086222,-0.08169720024555835
2016-02-23,,,,,,,,,,,,,,
2016-02-24,,,,,,,,,,,,,,
2016-02-25,,,,,,,,,,,,,,
2016-02-26,,,,,,,,,,,,,,
2016-02-29,0.09177486209244054,0.07457496293815742,-0.031010400959845495,-0.03379910943011749,0.15630125426368893,-0.18175192919010458,0.16544564955948934,0.1395492876125689,0.17227533154394173,0.15416557447009246,0.29459094181942524,0.12044339234024384,-0.08784984551687498,-0.07251660769279238
2016-03-01,,,,,,,,,,,,,,
2016-03-02,,,,,,,,,,,,,,
2016-03-03,,,,,,,,,,,,,,
2016-03-04,,,,,,,,,,,,,,
2016-03-07,0.10117973587119478,0.0797849996749636,0.032948543274171654,-0.03580140954361363,-0.20514172946209774,-0.20107713903648722,0.1756771124590604,0.14845905728692246,0.1837045449390743,-0.195534926652202,-0.3313635916195805,0.1383359002223547,0.09418119959333303,0.07681011036494405
2016-03-08,,,,,,,,,,,,,,
2016-03-09,,,,,,,,,,,,,,
2016-03-10,,,,,,,,,,,,,,
2016-03-11,,,,,,,,,,,,,,
2016-03-14,-0.0664688092696002,-0.05405059371352693,0.021784714116105473,-0.024145237893047275,-0.13561054895548555,-0.13639226105685284,-0.1189481814793791,0.09779418502926017,0.11798802586736368,-0.13056713694500902,-0.21509634041965234,-0.09090863850770715,0.06340478964157337,0.05206993225385678
2016-03-15,,,,,,,,,,,,,,
2016-03-16,,,,,,,,,,,,,,
2016-03-17,,,,,,,,,,,,,,
2016-03-18,,,,,,,,,,,,,,
2016-03-21,0.08518686908448134,0.0717068183824746,0.027054084464094304,-0.03059679366677699,0.16784701653950634,0.15821366245247728,0.1487254459570588,0.12430037079525094,0.14129677642255994,0.16067809276986725,-0.2895950780755563,-0.120132875000994,0.0831590718270525,0.06739714808861652
2016-03-22,,,,,,,,,,,,,,
2016-03-23,,,,,,,,,,,,,,
2016-03-24,,,,,,,,,,,,,,
2016-03-28,-0.08037061975457661,0.06601249389008121,0.026102131514103278,0.0302452963417703,0.1622029176257994,0.1463036980156865,0.1432953471019885,0.11726627086811281,0.1319723735717726,0.15514921130286108,-0.27877569256621265,-0.11624715892161115,0.08266382999531917,0.0660920640600342
2016-03-29,,,,,,,,,,,,,,
2016-03-30,,,,,,,,,,,,,,
2016-03-31,,,,,,,,,,,,,,
2016-04-01,,,,,,,,,,,,,,
2016-04-04,-0.09798277359200346,-0.08246164235162987,-0.03272279442030566,0.041430630532135485,0.20180350018461338,0.178452928696567,0.17716910319776985,0.1426357709865219,0.1629406439074876,0.20338017123492497,0.3451964170338324,0.1470353822166961,0.10402351585348181,0.08276472579203058
2016-04-05,,,,,,,,,,,,,,
2016-04-06,,,,,,,,,,,,,,
2016-04-07,,,,,,,,,,,,,,
2016-04-08,,,,,,,,,,,,,,
2016-04-11,0.09691173100228545,0.08001149628001078,0.031868902861203925,0.0404580342756045,0.21174506862377868,-0.17262444948091393,0.17176526524474364,0.14311094244722222,0.1597672731725563,0.2133340432228207,0.34203604701906526,0.14312870747334977,0.10789078861580997,0.08534725028063507
2016-04-12,,,,,,,,,,,,,,
2016-04-13,,,,,,,,,,,,,,
2016-04-14,,,,,,,,,,,,,,
2016-04-15,,,,,,,,,,,,,,
2016-04-18,-0.09528616019564577,0.08063089532678966,-0.03194030587117142,-0.04024543160289549,0.20483431484622647,-0.17219406940785695,0.16575499419408768,0.14425553737304367,0.16005953612469076,0.2044030881843296,0.34046423033758866,0.1495064101340097,0.1160957657722857,0.09432926062937869
2016-04-19,,,,,,,,,,,,,,
2016-04-20,,,,,,,,,,,,,,
2016-04-21,,,,,,,,,,,,,,
2016-04-22,,,,,,,,,,,,,,
2016-04-25,0.09061376821182426,0.0732031931356086,0.03399936616039523,0.03655444360357826,0.19694947894878953,0.1628950335109998,0.15391779755877028,0.1408820030695016,0.15845139188604668,-0.19291206099376462,0.3287849150516212,-0.14351636482052138,0.11962242836998979,0.09437327634457184
2016-04-26,,,,,,,,,,,,,,
2016-04-27,,,,,,,,,,,,,,
2016-04-28,,,,,,,,,,,,,,
2016-04-29,,,,,,,,,,,,,,
2016-05-02,0.08287714617951251,0.06703893775716105,0.03378856683356387,-0.035064480732286574,0.18583988838628399,0.16165076860555969,0.12787138831761322,0.12391353986664476,0.15098455510942,0.18230060354496405,-0.30136993794184713,-0.13049989949696542,0.11841614693913576,-0.0928158074032715
2016-05-03,,,,,,,,,,,,,,
2016-05-04,,,,,,,,,,,,,,
2016-05-05,,,,,,,,,,,,,,
2016-05-06,,,,,,,,,,,,,,
2016-05-09,0.0875230426809049,0.07059893478572234,0.039815176454290654,0.03881675125178538,-0.2164523998003888,0.17428349740392438,-0.14124230579406907,-0.13002227439656341,-0.16260900135739773,-0.20129548789176785,-0.3331090783839547,-0.15134010913750376,0.1393710476752018,-0.11352089298652518
