date,H1_gross,H1_net,H2_gross,H2_net,H3_gross,H3_net,H4_gross,H4_net,C0_gross,C0_net,C0_LC_gross,C0_LC_net,mkt_rf
2017-02-28,-0.009338,-0.011395,-0.009000,-0.011076,-0.000796,-0.002853,-0.004468,-0.006741,-0.004744,-0.006732,-0.001382,-0.003370,0.035371
2017-03-31,0.002193,0.000136,-0.000906,-0.002983,0.000242,-0.001815,0.010349,0.008068,0.000321,-0.001667,-0.003220,-0.005207,0.001852
2017-04-30,0.000229,-0.001827,-0.001743,-0.003822,-0.003035,-0.005091,0.002596,0.000321,0.000950,-0.001038,-0.003824,-0.005812,0.010721
2017-05-31,0.002408,0.000351,0.002111,0.000031,-0.001764,-0.003821,0.006837,0.004559,0.003893,0.001905,-0.001121,-0.003108,0.010661
2017-06-30,-0.003878,-0.005935,-0.002947,-0.005024,0.004641,0.002585,-0.002568,-0.004848,-0.000267,-0.002254,0.003959,0.001971,0.007760
2017-07-31,-0.001892,-0.003949,-0.002660,-0.004737,-0.005492,-0.007549,-0.002887,-0.005167,-0.000162,-0.002150,-0.000929,-0.002917,0.018635
2017-08-31,0.001578,-0.000478,-0.001945,-0.004016,0.004578,0.002522,0.005263,0.002987,0.002079,0.000092,0.003759,0.001771,0.001690
2017-09-30,-0.005388,-0.007445,-0.002214,-0.004286,0.000260,-0.001797,-0.010154,-0.012430,-0.005628,-0.007616,0.002363,0.000375,0.024853
2017-10-31,0.007479,0.005422,0.003552,0.001473,0.008582,0.006526,0.009817,0.007547,0.006708,0.004720,0.006690,0.004702,0.022722
2017-11-30,0.006012,0.003956,0.005937,0.003868,0.003254,0.001197,0.003264,0.000995,0.002476,0.000489,0.000340,-0.001647,0.031176
2017-12-31,-0.000141,-0.002198,0.000785,-0.001287,-0.000687,-0.002744,0.000747,-0.001546,-0.000247,-0.002234,-0.000357,-0.002345,0.010616
2018-01-31,0.002554,0.000498,0.003309,0.001237,-0.001757,-0.003813,0.000415,-0.001878,0.000294,-0.001693,-0.000662,-0.002650,0.055712
2018-02-28,0.002496,0.000440,0.000193,-0.001878,0.003063,0.001006,0.005559,0.003250,0.001521,-0.000467,0.000866,-0.001121,-0.036512
2018-03-31,-0.000921,-0.002978,-0.000899,-0.002969,-0.002051,-0.004107,-0.001618,-0.003927,0.000516,-0.001471,-0.000290,-0.002277,-0.023597
2018-04-30,0.003303,0.001247,0.002381,0.000310,0.004258,0.002201,0.002726,0.000422,0.001492,-0.000495,0.000183,-0.001805,0.002608
2018-05-31,-0.004237,-0.006294,-0.001669,-0.003747,-0.000993,-0.003050,-0.004643,-0.006944,-0.001429,-0.003417,-0.004002,-0.005990,0.026672
2018-06-30,0.001056,-0.001001,0.000901,-0.001177,-0.003897,-0.005954,-0.002709,-0.005012,-0.000717,-0.002704,-0.004118,-0.006105,0.004776
2018-07-31,0.000813,-0.001244,0.000649,-0.001427,0.000138,-0.001919,-0.001318,-0.003617,-0.000600,-0.002588,0.001578,-0.000410,0.031929
2018-08-31,-0.011937,-0.013994,-0.006921,-0.008999,-0.016680,-0.018736,-0.013357,-0.015657,-0.004379,-0.006367,-0.009927,-0.011915,0.034495
2018-09-30,0.002098,0.000041,0.003297,0.001194,0.000288,-0.001769,0.004947,0.002643,0.000274,-0.001713,-0.001207,-0.003195,0.000671
2018-10-31,0.008595,0.006538,0.005129,0.003033,0.008133,0.006076,0.011081,0.008788,0.007638,0.005650,0.009222,0.007234,-0.076745
2018-11-30,-0.006374,-0.008431,-0.005682,-0.007768,0.002236,0.000179,-0.000856,-0.003155,-0.002239,-0.004226,0.000732,-0.001256,0.017027
2018-12-31,0.005704,0.003647,0.001956,-0.000130,0.003016,0.000959,0.010827,0.008527,0.006306,0.004319,0.002265,0.000277,-0.095369
2019-01-31,-0.000511,-0.002568,-0.000483,-0.002577,-0.009898,-0.011955,0.007585,0.005282,-0.006633,-0.008620,-0.009434,-0.011421,0.083911
2019-02-28,-0.008244,-0.010301,-0.001880,-0.003966,-0.006445,-0.008501,-0.011121,-0.013410,-0.005487,-0.007474,-0.007584,-0.009572,0.034353
2019-03-31,-0.007936,-0.009992,-0.003217,-0.005306,-0.007646,-0.009703,-0.003832,-0.006122,-0.002240,-0.004228,-0.006703,-0.008690,0.010832
2019-04-30,0.003386,0.001329,0.001487,-0.000606,0.010160,0.008103,0.001979,-0.000315,0.003383,0.001396,0.005253,0.003265,0.039624
2019-05-31,0.005655,0.003598,0.000917,-0.001169,0.008566,0.006510,0.021178,0.018891,0.010133,0.008146,0.007725,0.005737,-0.069209
2019-06-30,-0.008978,-0.011035,-0.007022,-0.009105,-0.004456,-0.006513,-0.007867,-0.010156,-0.009637,-0.011625,-0.007008,-0.008996,0.069967
2019-07-31,0.000117,-0.001940,0.000732,-0.001347,0.004775,0.002718,-0.002209,-0.004497,0.002451,0.000464,0.003080,0.001092,0.012080
2019-08-31,0.007472,0.005415,0.001224,-0.000853,0.006210,0.004153,0.016567,0.014285,0.005955,0.003968,0.001656,-0.000332,-0.025433
2019-09-30,0.014708,0.012651,0.008150,0.006066,0.016819,0.014762,0.003975,0.001701,0.004416,0.002428,0.009065,0.007077,0.014160
2019-10-31,-0.000515,-0.002572,-0.001720,-0.003792,0.000409,-0.001648,0.001626,-0.000651,0.001944,-0.000044,0.001358,-0.000629,0.020761
2019-11-30,-0.010036,-0.012093,-0.007888,-0.009956,-0.005132,-0.007188,-0.007055,-0.009338,-0.007192,-0.009180,-0.005854,-0.007842,0.038619
