Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
08/14/2025,ProShares UltraPro S&P500,UPRO,102.3149,102.2418,0.07150,0.0731,44200,4522318580
08/13/2025,ProShares UltraPro S&P500,UPRO,102.2418,101.2811,0.94855,0.9607,44200,4519087560
08/12/2025,ProShares UltraPro S&P500,UPRO,101.2811,97.9755,3.37390,3.3056,44250,4481688675
08/11/2025,ProShares UltraPro S&P500,UPRO,97.9755,98.7176,-0.75174,-0.7421,44400,4350112200
08/08/2025,ProShares UltraPro S&P500,UPRO,98.7176,96.5202,2.27662,2.1974,46750,4615047800
08/07/2025,ProShares UltraPro S&P500,UPRO,96.5202,96.7747,-0.26298,-0.2545,47000,4536449400
08/06/2025,ProShares UltraPro S&P500,UPRO,96.7747,94.7283,2.16028,2.0464,47150,4562927105
08/05/2025,ProShares UltraPro S&P500,UPRO,94.7283,96.1541,-1.48283,-1.4258,47150,4466439345
08/04/2025,ProShares UltraPro S&P500,UPRO,96.1541,92.1056,4.39550,4.0485,47150,4533665815
08/01/2025,ProShares UltraPro S&P500,UPRO,92.1056,96.8351,-4.88408,-4.7295,47300,4356594880
07/31/2025,ProShares UltraPro S&P500,UPRO,96.8351,97.924,-1.11198,-1.0889,47850,4633559535
07/30/2025,ProShares UltraPro S&P500,UPRO,97.924,98.3232,-0.40601,-0.3992,48100,4710144400
07/29/2025,ProShares UltraPro S&P500,UPRO,98.3232,99.2277,-0.91154,-0.9045,47950,4714597440
07/28/2025,ProShares UltraPro S&P500,UPRO,99.2277,99.2155,0.01230,0.0122,48000,4762929600
07/25/2025,ProShares UltraPro S&P500,UPRO,99.2155,98.1161,1.12051,1.0994,47500,4712736250
07/24/2025,ProShares UltraPro S&P500,UPRO,98.1161,97.9363,0.18359,0.1798,46700,4582021870
07/23/2025,ProShares UltraPro S&P500,UPRO,97.9363,95.7183,2.31722,2.218,46950,4598109285
07/22/2025,ProShares UltraPro S&P500,UPRO,95.7183,95.562,0.16356,0.1563,47200,4517903760
07/21/2025,ProShares UltraPro S&P500,UPRO,95.562,95.1852,0.39586,0.3768,47250,4515304500
07/18/2025,ProShares UltraPro S&P500,UPRO,95.1852,95.2845,-0.10421,-0.0993,47400,4511778480
07/17/2025,ProShares UltraPro S&P500,UPRO,95.2845,93.7901,1.59335,1.4944,47550,4530777975
07/16/2025,ProShares UltraPro S&P500,UPRO,93.7901,92.9285,0.92716,0.8616,47550,4459719255
07/15/2025,ProShares UltraPro S&P500,UPRO,92.9285,94.0516,-1.19413,-1.1231,47650,4428043025
07/14/2025,ProShares UltraPro S&P500,UPRO,94.0516,93.6825,0.39399,0.3691,47700,4486261320
07/11/2025,ProShares UltraPro S&P500,UPRO,93.6825,94.7046,-1.07925,-1.0221,47700,4468655250
07/10/2025,ProShares UltraPro S&P500,UPRO,94.7046,93.9213,0.83400,0.7833,47850,4531615110
07/09/2025,ProShares UltraPro S&P500,UPRO,93.9213,92.2737,1.78556,1.6476,47850,4494134205
07/08/2025,ProShares UltraPro S&P500,UPRO,92.2737,92.4976,-0.24206,-0.2239,47900,4419910230
07/07/2025,ProShares UltraPro S&P500,UPRO,92.4976,94.7527,-2.37998,-2.2551,46650,4315013040
07/03/2025,ProShares UltraPro S&P500,UPRO,94.7527,92.5055,2.42926,2.2472,47050,4458114535
07/02/2025,ProShares UltraPro S&P500,UPRO,92.5055,91.2342,1.39345,1.2713,48800,4514268400
07/01/2025,ProShares UltraPro S&P500,UPRO,91.2342,91.5577,-0.35333,-0.3235,48850,4456790670
06/30/2025,ProShares UltraPro S&P500,UPRO,91.5577,90.174,1.53448,1.3837,49250,4509216725
06/27/2025,ProShares UltraPro S&P500,UPRO,90.174,88.8475,1.49301,1.3265,49300,4445578200
06/26/2025,ProShares UltraPro S&P500,UPRO,88.8475,86.7855,2.37597,2.062,49800,4424605500
06/25/2025,ProShares UltraPro S&P500,UPRO,86.7855,87.0384,-0.29056,-0.2529,49200,4269846600
06/24/2025,ProShares UltraPro S&P500,UPRO,87.0384,84.2426,3.31875,2.7958,47550,4138675920
06/23/2025,ProShares UltraPro S&P500,UPRO,84.2426,81.9021,2.85768,2.3405,46900,3950977940
06/20/2025,ProShares UltraPro S&P500,UPRO,81.9021,82.5059,-0.73183,-0.6038,47350,3878064435
06/18/2025,ProShares UltraPro S&P500,UPRO,82.5059,82.6269,-0.14644,-0.121,47500,3919030250
06/17/2025,ProShares UltraPro S&P500,UPRO,82.6269,84.7673,-2.52503,-2.1404,47200,3899989680
06/16/2025,ProShares UltraPro S&P500,UPRO,84.7673,82.4337,2.83088,2.3336,47200,4001016560
06/13/2025,ProShares UltraPro S&P500,UPRO,82.4337,85.3616,-3.43000,-2.9279,47300,3899114010
06/12/2025,ProShares UltraPro S&P500,UPRO,85.3616,84.4206,1.11466,0.941,47450,4050407920
06/11/2025,ProShares UltraPro S&P500,UPRO,84.4206,85.1422,-0.84752,-0.7216,47500,4009978500
06/10/2025,ProShares UltraPro S&P500,UPRO,85.1422,83.7764,1.63029,1.3658,47500,4044254500
06/09/2025,ProShares UltraPro S&P500,UPRO,83.7764,83.5584,0.26090,0.218,47450,3975190180
06/06/2025,ProShares UltraPro S&P500,UPRO,83.5584,81.0983,3.03348,2.4601,47500,3969024000
06/05/2025,ProShares UltraPro S&P500,UPRO,81.0983,82.4112,-1.59311,-1.3129,47600,3860279080
06/04/2025,ProShares UltraPro S&P500,UPRO,82.4112,82.4091,0.00255,0.0021,47650,3926893680
06/03/2025,ProShares UltraPro S&P500,UPRO,82.4091,81.0203,1.71414,1.3888,47650,3926793615
06/02/2025,ProShares UltraPro S&P500,UPRO,81.0203,80.0186,1.25183,1.0017,48450,3925433535
05/30/2025,ProShares UltraPro S&P500,UPRO,80.0186,80.0977,-0.09875,-0.0791,47950,3836891870
05/29/2025,ProShares UltraPro S&P500,UPRO,80.0977,79.1733,1.16757,0.9244,48150,3856704255
05/28/2025,ProShares UltraPro S&P500,UPRO,79.1733,80.5375,-1.69387,-1.3642,48200,3816153060
05/27/2025,ProShares UltraPro S&P500,UPRO,80.5375,75.8926,6.12036,4.6449,48150,3877880625
05/23/2025,ProShares UltraPro S&P500,UPRO,75.8926,77.5258,-2.10665,-1.6332,48150,3654228690
05/22/2025,ProShares UltraPro S&P500,UPRO,77.5258,77.6528,-0.16355,-0.127,48250,3740619850
05/21/2025,ProShares UltraPro S&P500,UPRO,77.6528,81.625,-4.86640,-3.9722,48300,3750630240
05/20/2025,ProShares UltraPro S&P500,UPRO,81.625,82.6047,-1.18601,-0.9797,48300,3942487500
05/19/2025,ProShares UltraPro S&P500,UPRO,82.6047,82.3784,0.27471,0.2263,48350,3993937245
05/16/2025,ProShares UltraPro S&P500,UPRO,82.3784,80.7178,2.05729,1.6606,48450,3991233480
